Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
24.69,52.74,1362,401,12969,19385,938.715,1.7,1.77,11.72,1.827,0.041,1
24.65,50.84,695,720,12768,19561,939.145,2.31,2.4,15.9,2.479,0.056,1
26.69,48.73,1103,400,12892,19455,938.768,2.07,2.16,14.28,2.227,0.05,1
24.43,53.2,1027,579,12824,19468,938.997,2.15,2.23,14.79,2.306,0.052,1
24.82,52.48,1201,401,12918,19425,938.676,1.85,1.92,12.73,1.986,0.045,1
27.08,55.16,24,400,13043,19938,939.764,0.37,0.38,2.55,0.397,0.009,0
19.85,53.77,120,400,13215,20092,939.65,2.29,2.38,15.77,2.459,0.056,1
59.31,13.59,60000,9864,11380,16724,936.782,8830.29,14993.05,46155.71,16436.191,5862.207,0
6.754,53.21,1036,653,12793,19470,939.08,2.16,2.25,14.88,2.321,0.052,1
25.65,50.42,912,655,12792,19494,939.086,2.29,2.38,15.76,2.458,0.056,1
26.92,47.89,1124,404,12903,19454,938.793,1.48,1.54,10.18,1.588,0.036,1
17.937,52.16,1191,420,12898,19437,938.718,1.73,1.8,11.92,1.859,0.042,1
19.65,54.96,37,400,13246,20219,939.764,2.58,2.68,17.74,2.766,0.062,1
28.77,41.54,86,400,12790,20640,937.403,1.83,1.91,12.63,1.969,0.044,0
24.75,52.67,1191,416,12901,19429,938.698,1.88,1.95,12.93,2.016,0.046,1
24.47,52.88,1153,611,12808,19446,939.043,2.02,2.1,13.9,2.168,0.049,1
22.36,47.75,126,400,13227,20096,939.609,2.03,2.11,13.97,2.179,0.049,1
27.01,47.63,1356,400,12966,19394,938.735,2.05,2.12,14.08,2.195,0.05,1
26.94,47.5,1159,535,12834,19435,938.898,1.69,1.76,11.63,1.814,0.041,1
20.19,51.84,187,400,13187,20031,939.673,1.96,2.04,13.49,2.104,0.048,1
-9.024,46.03,91,400,12781,20647,937.482,2.08,2.16,14.33,2.235,0.05,0
19.44,55.63,41,400,13254,20214,939.689,1.92,2,13.24,2.064,0.047,1
20.78,52.85,1189,401,12909,19414,938.705,1.44,1.5,9.92,1.548,0.035,1
24.69,52.71,1383,415,12946,19382,938.715,1.81,1.88,12.49,1.947,0.044,1
24.64,52.67,1118,555,12832,19449,938.892,2.15,2.23,14.77,2.303,0.052,1
20.25,47.3,22,400,13213,20142,939.615,0.93,0.97,6.43,1.003,0.023,0
11.338,45.68,178,400,13146,19997,939.681,0.86,0.89,5.9,0.92,0.021,0
-5.05,54.02,358,400,13072,19911,939.304,0.22,0.23,1.51,0.236,0.005,1
16.791,50.33,1021,579,12825,19470,939.038,2.06,2.14,14.18,2.212,0.05,1
-2.591,52.08,801,727,12767,19526,939.118,2.17,2.26,14.95,2.332,0.053,1
-5.401,41.27,86,400,12791,20640,937.448,1.89,1.97,13.02,2.031,0.046,0
20.316,44.09,19,449,12862,20754,937.583,2.29,2.38,15.78,2.46,0.056,0
19.05,48.53,182,400,13144,19994,939.641,0.87,0.91,6.01,0.937,0.021,0
1.648,46.3,157,400,13214,20064,939.664,1.81,1.88,12.48,1.946,0.044,1
21.62,51.82,1,400,13273,20231,939.73,2.28,2.37,15.67,2.443,0.055,1
-9.74,47.53,1187,400,13021,19432,938.766,2.07,2.15,14.21,2.216,0.05,1
20.05,55.45,261,400,13138,20005,939.457,0.4,0.41,2.73,0.425,0.01,1
12.493,48.72,159,425,12777,20563,937.373,1.55,1.61,10.67,1.664,0.038,0
26.2,46.99,122,419,12772,20626,937.568,1.9,1.98,13.09,2.042,0.046,0
26.09,47.11,101,400,12781,20628,937.452,2.22,2.31,15.28,2.383,0.054,0
10.301,48.24,1270,400,12991,19400,938.826,1.89,1.96,13.01,2.029,0.046,1
12.344,44.18,0,400,13426,21256,937.391,2.19,2.28,15.08,2.352,0.053,0
22.43,47.37,122,400,13231,20087,939.648,2.09,2.17,14.35,2.238,0.051,1
6.25,51.67,1299,401,12954,19402,938.69,2.25,2.34,15.49,2.416,0.055,1
16.905,49.75,1088,481,12858,19453,938.907,1.71,1.77,11.74,1.83,0.041,1
18.64,55.81,355,400,13076,19918,939.286,0.3,0.31,2.08,0.324,0.007,1
17.044,48.66,1115,400,12910,19445,938.71,1.75,1.82,12.07,1.883,0.043,1
0.399,47.17,168,400,13207,20044,939.663,2.23,2.31,15.32,2.389,0.054,1
19.68,54.69,41,400,13247,20217,939.713,2.12,2.2,14.6,2.277,0.051,1
22.08,55.95,831,931,12665,19531,939.166,2.52,2.61,17.32,2.701,0.061,1
16.821,46.43,99,400,13172,20083,939.631,0.77,0.8,5.3,0.826,0.019,0
13.026,52.23,134,400,13160,20033,939.637,0.96,1,6.63,1.034,0.023,0
26.6,49.34,1224,402,12910,19426,938.713,1.66,1.72,11.42,1.781,0.04,1
-6.814,46.92,96,400,12782,20630,937.423,1.81,1.88,12.46,1.944,0.044,0
14.99,56.53,0,400,13039,19953,939.762,0.12,0.12,0.8,0.125,0.003,0
14.746,41.86,61,400,12822,20702,937.498,2.25,2.34,15.5,2.417,0.055,0
-4.306,53.94,791,931,12659,19539,939.139,2.7,2.8,18.57,2.896,0.065,1
26,47.25,135,404,12779,20589,937.4,2.13,2.21,14.67,2.288,0.052,0
-9.253,46.46,94,400,12790,20631,937.47,1.84,1.91,12.64,1.971,0.045,0
22.15,55.92,762,867,12693,19550,939.142,2.5,2.59,17.19,2.681,0.061,1
-5.242,41.35,130,400,12784,20597,937.344,1.89,1.96,13.01,2.029,0.046,0
20.179,48.24,1187,400,12914,19436,938.727,1.5,1.56,10.34,1.612,0.036,1
19.68,55.02,33,400,13245,20224,939.699,2.41,2.5,16.58,2.586,0.058,1
26.05,48.26,197,434,12765,20524,937.365,1.81,1.88,12.46,1.943,0.044,0
12.235,51.87,1140,419,12874,19444,938.833,1.66,1.72,11.41,1.779,0.04,1
-5.167,54.32,349,400,13078,19918,939.274,0.38,0.39,2.6,0.405,0.009,1
19.36,51.86,0,400,13234,20172,939.606,0.96,1,6.63,1.033,0.023,0
25.88,47.69,112,400,12779,20605,937.411,1.69,1.76,11.66,1.818,0.041,0
17.447,42.21,193,422,12777,20532,937.37,1.47,1.52,10.1,1.575,0.036,0
18.86,53.77,357,400,13084,19913,939.347,0.31,0.32,2.14,0.334,0.008,1
25.7,53.56,1038,409,12886,19472,938.807,2.17,2.25,14.92,2.327,0.053,1
-8.048,49.42,39,400,13245,20173,939.691,2.38,2.47,16.38,2.554,0.058,1
29.82,39.17,53,425,12839,20731,937.575,1.89,1.96,12.97,2.023,0.046,0
31.6,35.9,540,2088,12793,19450,931.069,217.84,226.36,1499.21,233.843,5.316,1
24.55,53.5,1220,413,12909,19415,938.722,1.48,1.54,10.2,1.59,0.036,1
25.68,53.59,1092,428,12882,19458,938.826,2.18,2.26,14.98,2.336,0.053,1
26.32,50.64,1103,400,12966,19448,938.745,1.82,1.89,12.51,1.95,0.044,1
-5.08,52.38,339,400,13083,19922,939.297,0.28,0.29,1.95,0.304,0.007,1
27.033,41.16,78,426,12841,20701,937.561,2.19,2.28,15.08,2.351,0.053,0
7.885,42.5,165,426,12775,20553,937.313,1.83,1.9,12.57,1.96,0.044,0
25.09,50.69,1193,410,12877,19434,938.762,1.68,1.74,11.56,1.803,0.041,1
3.345,47.71,164,438,12772,20563,937.316,1.99,2.07,13.72,2.14,0.048,0
5.903,53.68,1243,400,12966,19415,938.716,1.95,2.02,13.4,2.09,0.047,1
27.56,47.09,76,400,12798,20674,937.561,1.89,1.96,13.02,2.03,0.046,0
20.451,46.98,1105,527,12845,19459,938.922,1.97,2.04,13.55,2.112,0.048,1
23.78,53.12,990,703,12781,19490,939.082,2.22,2.3,15.26,2.379,0.054,1
-15.717,11.98,2277,400,13614,20104,936.717,0.51,0.53,3.53,0.55,0.012,0
12.66,55.84,13,400,12945,19875,939.773,0.2,0.21,1.38,0.215,0.005,0
-8.893,55.4,20,400,13250,20248,939.651,2.56,2.66,17.63,2.75,0.062,1
39.07,17.11,900,10375,12001,19234,930.943,7.45,7.74,51.28,7.996,0.181,1
50.57,24.45,60000,10986,11332,16563,936.834,3532.97,3670.63,24316.01,3791.793,85.643,0
26.741,53.56,21,400,12941,19872,939.761,0.27,0.28,1.83,0.286,0.006,0
-8.179,50.81,175,400,13167,20099,939.665,1.26,1.31,8.7,1.357,0.031,1
-6.24,49.58,18,400,13262,20194,939.656,2.1,2.18,14.47,2.256,0.051,1
27.11,47.16,1084,441,12871,19456,938.815,1.99,2.07,13.72,2.14,0.048,1
21.77,49.36,163,400,13178,20107,939.665,1.26,1.31,8.7,1.357,0.031,1
27.06,43.15,213,450,12756,20498,937.368,1.36,1.41,9.37,1.462,0.033,0
59.36,17.07,60000,17808,10990,15925,936.789,9791.51,17857.48,48083.57,19699.227,7696.586,0
24.55,52.69,1050,576,12831,19483,939.03,2,2.08,13.77,2.147,0.048,1
-21.468,47.73,1352,400,12973,19387,938.708,1.8,1.87,12.38,1.931,0.044,1
13.101,52.54,1287,400,12946,19410,938.751,1.87,1.94,12.85,2.004,0.045,1
13.8,50.4,3,400,12668,19726,939.793,0.06,0.09,0.35,0.102,0.03,0
-8.025,49.04,158,400,13179,20106,939.665,0.8,0.83,5.48,0.854,0.019,1
26.64,48.91,1120,409,12879,19451,938.797,1.72,1.79,11.86,1.85,0.042,1
24.716,51.15,9,400,13148,20050,939.634,0.63,0.66,4.36,0.68,0.015,0
19.705,42.16,187,425,12770,20534,937.349,1.6,1.67,11.03,1.721,0.039,0
24.44,51.74,712,703,12777,19563,939.124,2.58,2.68,17.77,2.772,0.063,1
25.28,49.27,1199,500,12841,19437,938.899,1.63,1.7,11.23,1.751,0.04,1
-8.126,41.42,75,400,12793,20645,937.466,2.1,2.19,14.48,2.258,0.051,0
20.09,47.96,24,400,13213,20141,939.613,0.86,0.89,5.89,0.918,0.021,0
57.66,11.54,53510,558,12736,18462,936.711,7.42,8.25,49.69,8.609,0.706,0
20.112,53.14,1124,587,12819,19447,938.972,1.94,2.01,13.33,2.078,0.047,1
20.92,51.16,350,400,13069,19916,939.268,0.44,0.46,3.02,0.471,0.011,1
24.36,52.79,1046,643,12801,19464,939.073,2.06,2.14,14.18,2.211,0.05,1
29.12,40.67,68,400,12785,20660,937.494,2.37,2.47,16.33,2.547,0.058,0
12.6,54.19,9,400,12916,19859,939.773,0.26,0.27,1.77,0.275,0.006,0
-4.358,49.98,311,400,13115,19953,939.402,0.21,0.22,1.44,0.224,0.005,1
20.851,51.18,1080,554,12834,19456,938.909,2.1,2.19,14.48,2.258,0.051,1
-5.229,51.33,372,400,13052,19892,939.26,0.41,0.42,2.79,0.436,0.01,1
-21.722,11.82,60000,1450,12271,17799,936.703,1626.04,2005.1,10398.21,2122.732,345.859,0
22.26,48.41,16,400,13258,20221,939.702,2.92,3.04,20.12,3.137,0.071,1
16.275,50.37,1038,587,12825,19465,939.05,2.27,2.35,15.6,2.433,0.055,1
-16.965,53.8,1354,400,12964,19387,938.714,1.76,1.83,12.1,1.886,0.043,1
24.949,50.31,37,400,13119,20012,939.609,1.21,1.26,8.32,1.297,0.029,0
4.449,47.96,1425,440,12930,19376,938.691,1.97,2.05,13.55,2.114,0.048,1
12.604,50.57,1101,400,12896,19462,938.747,1.91,1.98,13.11,2.045,0.046,1
-21.572,51.78,1293,400,12985,19404,938.698,1.6,1.66,11.02,1.718,0.039,1
24.57,53.34,1166,402,12896,19448,938.769,1.69,1.75,11.61,1.811,0.041,1
19.728,47.03,1044,557,12830,19468,939.005,2.19,2.28,15.07,2.35,0.053,1
-5.777,49.85,214,400,13150,20058,939.608,0.45,0.47,3.1,0.483,0.011,1
27.112,56.9,12,400,13042,19941,939.799,0.28,0.29,1.93,0.302,0.007,0
23.076,53.77,76,400,13116,19978,939.625,0.69,0.72,4.78,0.746,0.017,0
18.715,53.35,1128,400,12911,19440,938.71,1.72,1.79,11.85,1.847,0.042,1
-7.541,50.04,47,400,13237,20161,939.675,2.3,2.39,15.8,2.464,0.056,1
24.62,51.1,1138,671,12789,19456,939.067,2.25,2.34,15.48,2.414,0.055,1
24.64,53.03,1143,410,12878,19445,938.778,1.82,1.89,12.5,1.949,0.044,1
18.89,50.82,1208,414,12902,19428,938.699,1.91,1.99,13.15,2.051,0.046,1
29.05,40.81,66,400,12794,20653,937.434,2.26,2.34,15.53,2.421,0.055,0
4.363,50.63,946,642,12800,19487,939.06,2.11,2.2,14.55,2.269,0.051,1
-19.938,49.23,1337,400,12978,19396,938.727,1.72,1.78,11.81,1.841,0.042,1
24.44,53.84,1421,409,12969,19391,938.738,1.71,1.78,11.8,1.84,0.042,1
16.907,51.87,1143,400,12904,19445,938.694,1.48,1.54,10.2,1.59,0.036,1
19.276,53.24,1059,579,12816,19463,938.991,2.11,2.19,14.5,2.261,0.051,1
23.99,54.12,1011,634,12802,19477,939.064,2.16,2.25,14.87,2.319,0.052,1
-4.882,57.22,350,400,13087,19914,939.314,0.48,0.5,3.29,0.513,0.012,1
17.89,47.35,1136,408,12906,19446,938.714,1.68,1.75,11.58,1.806,0.041,1
26.84,48.15,1107,400,12896,19454,938.78,1.64,1.71,11.31,1.763,0.04,1
24.72,52.64,1199,463,12860,19443,938.863,1.93,2.01,13.29,2.073,0.047,1
24.11,53.74,1094,635,12794,19455,939.099,2.33,2.42,16.02,2.498,0.056,1
7.756,61.45,210,400,13188,20008,939.699,2.26,2.35,15.57,2.428,0.055,1
39.84,37.3,8107,400,12966,19442,936.877,0.45,0.47,3.11,0.485,0.011,0
50.62,14.25,607,400,13366,20542,936.837,0.92,0.96,6.35,0.99,0.022,0
0.556,44.39,73,402,12780,20673,937.558,2.11,2.19,14.51,2.263,0.051,0
20.236,51.31,1247,415,12908,19422,938.722,1.67,1.73,11.49,1.792,0.04,1
-8.546,48.92,46,400,13245,20182,939.665,1.97,2.04,13.55,2.112,0.048,1
18.55,55.35,310,400,13113,19947,939.382,0.3,0.31,2.04,0.318,0.007,1
-8.346,52.04,159,400,13171,20100,939.684,1.44,1.49,9.9,1.543,0.035,1
25.93,50.05,1048,652,12794,19476,939.054,2.14,2.22,14.71,2.294,0.052,1
26.41,50.44,1120,410,12883,19460,938.808,1.99,2.07,13.73,2.141,0.048,1
20.197,49.02,0,400,13226,20169,939.626,1.05,1.09,7.22,1.126,0.025,0
18.128,42.81,149,413,12771,20561,937.416,1.68,1.74,11.54,1.8,0.041,0
20.63,51.7,309,400,13114,19954,939.397,0.31,0.32,2.13,0.331,0.007,1
26.91,47.96,1366,405,12979,19381,938.717,2.21,2.3,15.24,2.377,0.054,1
21.01,50.62,214,400,13147,20047,939.6,0.45,0.47,3.11,0.486,0.011,1
26.18,51.74,1007,524,12847,19475,938.949,1.99,2.07,13.72,2.14,0.048,1
-1.563,47.48,123,400,13224,20086,939.601,2.02,2.1,13.93,2.172,0.049,1
13.339,47.61,1094,400,12896,19464,938.76,2.05,2.13,14.11,2.2,0.05,1
-18.202,53.55,1436,417,12969,19371,938.735,1.71,1.78,11.77,1.835,0.041,1
-18.966,53.25,1366,408,12971,19386,938.706,1.81,1.88,12.43,1.938,0.044,1
24.72,52.91,1230,404,12921,19429,938.683,1.47,1.52,10.09,1.574,0.036,1
27.123,57.27,11,400,13031,19925,939.764,0.29,0.3,1.97,0.308,0.007,0
-8.238,54.7,44,400,13236,20176,939.686,2.19,2.28,15.08,2.351,0.053,1
16.965,53.19,1136,500,12850,19452,938.927,1.91,1.98,13.15,2.05,0.046,1
12.31,49.59,32,400,12648,19691,939.784,0.06,0.09,0.37,0.099,0.027,0
21.106,46.25,62,406,12827,20707,937.538,1.79,1.86,12.3,1.917,0.043,0
26.84,48.24,1191,402,12919,19428,938.715,1.68,1.75,11.57,1.804,0.041,1
16.284,49.85,1067,587,12822,19472,939.058,2.25,2.34,15.47,2.412,0.054,1
26.32,51.3,1084,400,12904,19462,938.774,1.65,1.71,11.35,1.77,0.04,1
27.02,47.43,1097,402,12882,19452,938.769,2.19,2.28,15.1,2.354,0.053,1
19.316,51.53,1084,400,12932,19457,938.702,1.81,1.88,12.43,1.939,0.044,1
20.847,47.5,1042,530,12837,19466,938.912,1.78,1.85,12.23,1.908,0.043,1
22.33,47.33,174,400,13210,20038,939.649,2.13,2.21,14.63,2.281,0.052,1
26.9,44.46,112,413,12775,20642,937.523,2.19,2.27,15.06,2.348,0.053,0
26.74,48.47,1348,411,12962,19389,938.755,1.72,1.79,11.84,1.846,0.042,1
-4.082,50.66,295,400,13118,19967,939.437,0.37,0.39,2.56,0.399,0.009,1
-9.171,54.36,16,400,13254,20209,939.726,2.23,2.32,15.36,2.395,0.054,1
-20.301,53.64,1348,402,12965,19390,938.756,2.22,2.3,15.25,2.378,0.054,1
16.625,52.71,1051,451,12870,19461,938.906,2.02,2.1,13.9,2.167,0.049,1
28.49,42.93,154,438,12774,20566,937.311,2.07,2.15,14.24,2.22,0.05,0
28.98,41.27,72,410,12784,20666,937.557,2.07,2.15,14.23,2.22,0.05,0
19.36,66.04,77,400,13247,20142,939.696,2.59,2.7,17.86,2.785,0.063,1
-8.884,49.88,39,400,13243,20174,939.688,2.56,2.66,17.61,2.747,0.062,1
24.44,52.49,950,400,13025,19492,938.729,2.88,2.99,19.83,3.093,0.07,1
48.42,14.78,571,400,13369,20575,936.832,0.85,0.89,5.87,0.916,0.021,0
26.85,47.99,1172,458,12862,19443,938.871,1.92,1.99,13.18,2.056,0.046,1
-8.907,54.41,19,400,13250,20247,939.683,2.48,2.58,17.09,2.664,0.06,1
15.71,52.78,1078,584,12823,19469,939.034,2.02,2.09,13.88,2.164,0.049,1
17.45,47.7,1061,483,12858,19461,938.912,1.85,1.92,12.74,1.986,0.045,1
-8.883,55.78,36,400,13246,20233,939.637,2.31,2.39,15.87,2.474,0.056,1
27.09,47.48,1212,400,12929,19427,938.703,1.3,1.35,8.97,1.399,0.032,1
21.11,49.55,15,404,12537,19631,939.764,0.03,0.12,0.01,0.136,0.083,0
-5.912,54.48,234,400,13136,20036,939.612,0.41,0.43,2.83,0.441,0.01,1
27.114,56.35,22,400,13033,19930,939.806,0.31,0.32,2.12,0.33,0.007,0
25.649,43.91,50,409,12826,20718,937.584,2.47,2.56,16.99,2.649,0.06,0
-1.07,49.67,140,400,13217,20072,939.642,2,2.07,13.74,2.143,0.048,1
-5.236,56.95,361,400,13054,19901,939.27,0.5,0.52,3.44,0.536,0.012,1
27.14,46.99,1138,493,12847,19442,938.895,2,2.07,13.74,2.143,0.048,1
24.38,54.08,1348,405,12980,19383,938.744,1.61,1.68,11.1,1.731,0.039,1
3.945,48.78,162,444,12768,20560,937.317,2.04,2.12,14.03,2.188,0.049,0
20.464,47.66,1201,400,12919,19437,938.705,1.74,1.8,11.95,1.864,0.042,1
49.99,21.74,60000,4924,11671,16875,936.801,1011.85,1051.28,6964.16,1085.979,24.528,0
15.841,64.02,2157,400,13357,20086,937.027,0.67,0.7,4.61,0.719,0.016,0
-5.698,53.91,55,400,13248,20155,939.675,2.06,2.14,14.18,2.211,0.05,1
19.993,47.88,1161,515,12839,19442,938.864,1.73,1.79,11.88,1.853,0.042,1
-0.972,56.35,948,710,12779,19504,939.063,2.38,2.48,16.41,2.558,0.058,1
-4.289,53.54,801,924,12660,19537,939.151,2.49,2.59,17.13,2.671,0.06,1
-5.22,57.62,373,400,13044,19885,939.287,0.28,0.29,1.9,0.297,0.007,1
15.004,48.58,178,436,12769,20532,937.354,1.79,1.86,12.34,1.924,0.043,0
28.28,44.26,211,424,12767,20511,937.415,1.38,1.44,9.53,1.486,0.034,0
-4.102,55.92,305,400,13107,19955,939.433,0.27,0.28,1.87,0.292,0.007,1
16.85,48.9,34,400,13112,20003,939.614,0.6,0.62,4.12,0.642,0.014,0
20.039,50.74,1065,573,12824,19461,938.969,1.67,1.74,11.52,1.796,0.041,1
-5.029,47.14,108,400,12796,20608,937.358,1.93,2.01,13.28,2.071,0.047,0
12.86,53.8,1212,400,12962,19428,938.756,1.78,1.85,12.25,1.91,0.043,1
24.241,50.08,10,400,12704,19749,939.805,0.06,0.09,0.39,0.093,0.021,0
16.04,55.5,6,400,13141,20046,939.648,0.84,0.88,5.81,0.907,0.02,0
27.06,47.18,1076,445,12864,19449,938.882,1.95,2.03,13.45,2.097,0.047,1
-4.142,48.76,1316,400,12961,19398,938.7,1.61,1.68,11.11,1.733,0.039,1
-3.794,53.46,1337,406,12954,19393,938.686,1.68,1.75,11.59,1.808,0.041,1
20.556,50.34,1145,537,12832,19446,938.895,2.18,2.26,14.98,2.336,0.053,1
1.575,46.68,153,425,12785,20569,937.335,1.89,1.96,13.01,2.028,0.046,0
-4.113,53.24,108,400,13222,20110,939.645,2.18,2.27,15.03,2.343,0.053,1
37.69,15.08,388,4844,12260,20059,930.903,1.47,1.52,10.1,1.574,0.036,1
19.239,52.08,1111,528,12840,19449,938.868,2.18,2.27,15.01,2.341,0.053,1
58.05,15.31,32464,722,12641,18745,936.908,0.79,0.82,5.44,0.848,0.019,0
19.82,49.63,311,400,13102,19950,939.416,0.3,0.31,2.08,0.325,0.007,1
50.56,14.25,627,400,13347,20520,936.837,0.97,1.01,6.68,1.042,0.024,0
20.91,51.29,359,400,13055,19904,939.276,0.36,0.37,2.45,0.382,0.009,1
26.75,48.34,1111,480,12855,19454,938.902,1.8,1.87,12.39,1.932,0.044,1
26.27,48.37,979,668,12795,19503,939.068,2.2,2.28,15.13,2.36,0.053,1
28.95,41.65,78,400,12830,20690,937.516,2.02,2.1,13.89,2.167,0.049,0
7.216,50.6,1226,400,12971,19423,938.704,2.4,2.49,16.49,2.572,0.058,1
26.02,53,1115,400,12903,19458,938.788,1.63,1.7,11.24,1.752,0.04,1
16.14,51.49,1176,481,12855,19441,938.921,1.85,1.92,12.74,1.987,0.045,1
31.81,18.47,0,400,13430,21094,930.908,1.11,1.16,7.66,1.195,0.027,1
0.543,55.16,963,677,12786,19491,939.11,2.27,2.36,15.62,2.436,0.055,1
24.31,54.19,1346,410,12973,19389,938.696,1.71,1.78,11.8,1.84,0.042,1
38.89,22.9,1448,400,13097,20252,936.77,1.79,1.86,12.34,1.924,0.043,0
25.1,50.1,1220,400,12954,19425,938.753,2.12,2.2,14.57,2.271,0.051,1
25.5,46.97,1090,400,13006,19460,938.713,2.67,2.78,18.39,2.868,0.065,1
12.805,52.55,1143,404,12882,19438,938.758,1.86,1.93,12.77,1.992,0.045,1
1.997,49.24,921,662,12795,19502,939.08,2.19,2.28,15.11,2.356,0.053,1
13.592,46.56,39,400,13253,21115,937.074,1.88,1.95,12.95,2.019,0.046,0
18.46,56.86,370,400,13062,19889,939.275,0.5,0.52,3.47,0.542,0.012,1
27.09,47.37,1176,400,12914,19440,938.7,1.48,1.54,10.21,1.592,0.036,1
29.15,40.71,88,400,12788,20657,937.507,1.9,1.97,13.07,2.038,0.046,0
19.217,47.69,1153,406,12929,19446,938.718,1.66,1.73,11.46,1.787,0.04,1
19.635,50.52,19,400,13209,20141,939.634,1.18,1.23,8.14,1.269,0.029,0
-4.739,50.51,245,400,13130,20021,939.527,0.46,0.48,3.15,0.491,0.011,1
16.337,48.2,1099,598,12817,19456,939.055,2.34,2.43,16.11,2.512,0.057,1
38.87,15.1,0,3183,12565,20280,930.916,0.92,0.96,6.35,0.991,0.022,1
26.571,56.36,0,400,13092,19994,939.726,0.61,0.64,4.22,0.658,0.015,0
20.177,48.33,1180,400,12919,19432,938.716,1.46,1.52,10.05,1.567,0.035,1
25.38,48.62,1187,479,12850,19430,938.84,1.79,1.86,12.32,1.921,0.043,1
-4.95,57.37,352,400,13085,19919,939.319,0.38,0.4,2.62,0.409,0.009,1
-4.917,46.19,139,429,12774,20579,937.357,1.98,2.06,13.66,2.13,0.048,0
-9.493,25.83,60000,12008,11274,16462,936.844,8424.21,9770.7,55422.05,10259.172,1192.617,0
14.457,47.78,1153,401,12894,19441,938.812,1.87,1.94,12.88,2.009,0.045,1
